spcd,common_name,genus,species,jenkins_spgrpcd,wdsg
202,Douglas-fir,Pseudotsuga,menziesii,2.0,0.45
211,redwood,Sequoia,sempervirens,1.0,0.36
212,giant sequoia,Sequoiadendron,giganteum,1.0,0.34
220,baldcypress spp.,Taxodium,spp.,1.0,0.42
221,baldcypress,Taxodium,distichum,1.0,0.42
222,pondcypress,Taxodium,ascendens,1.0,0.42
223,Montezuma baldcypress,Taxodium,mucronatum,1.0,0.42
230,yew spp.,Taxus,spp.,3.0,0.6
231,Pacific yew,Taxus,brevifolia,3.0,0.6
232,Florida yew,Taxus,floridana,3.0,0.6
240,thuja spp.,Thuja,spp.,1.0,0.3
241,northern white-cedar,Thuja,occidentalis,1.0,0.29
242,western redcedar,Thuja,plicata,1.0,0.31
250,torreya (nutmeg) spp.,Torreya,spp.,3.0,0.41
251,California torreya (nutmeg),Torreya,californica,3.0,0.41
252,Florida torreya (nutmeg),Torreya,taxifolia,3.0,0.41
260,hemlock spp.,Tsuga,spp.,3.0,0.41
261,eastern hemlock,Tsuga,canadensis,3.0,0.38
262,Carolina hemlock,Tsuga,caroliniana,3.0,0.41
263,western hemlock,Tsuga,heterophylla,3.0,0.42
264,mountain hemlock,Tsuga,mertensiana,3.0,0.42
299,unknown dead conifer,Tree,evergreen,4.0,0.41
300,acacia spp.,Acacia,spp.,10.0,0.52
303,sweet acacia,Acacia,farnesiana,10.0,0.52
304,catclaw acacia,Acacia,greggii,10.0,0.52
310,maple spp.,Acer,spp.,7.0,0.47
311,Florida maple,Acer,barbatum,7.0,0.47
312,bigleaf maple,Acer,macrophyllum,7.0,0.44
313,boxelder,Acer,negundo,7.0,0.42
314,black maple,Acer,nigrum,9.0,0.52
315,striped maple,Acer,pensylvanicum,7.0,0.44
316,red maple,Acer,rubrum,7.0,0.49
317,silver maple,Acer,saccharinum,7.0,0.44
318,sugar maple,Acer,saccharum,9.0,0.56
319,mountain maple,Acer,spicatum,7.0,0.47
320,Norway maple,Acer,platanoides,7.0,0.47
321,Rocky Mountain maple,Acer,glabrum,10.0,0.47
322,bigtooth maple,Acer,grandidentatum,10.0,0.47
323,chalk maple,Acer,leucoderme,8.0,0.47
330,"buckeye, horsechestnut spp.",Aesculus,spp.,8.0,0.33
331,Ohio buckeye,Aesculus,glabra,8.0,0.33
332,yellow buckeye,Aesculus,flava,8.0,0.33
333,California buckeye,Aesculus,californica,8.0,0.33
334,Texas buckeye,Aesculus,glabra,8.0,0.33
336,red buckeye,Aesculus,pavia,8.0,0.33
337,painted buckeye,Aesculus,sylvatica,8.0,0.33
341,ailanthus,Ailanthus,altissima,8.0,0.46
345,"mimosa, silktree",Albizia,julibrissin,8.0,0.52
350,alder spp.,Alnus,spp.,6.0,0.37
351,red alder,Alnus,rubra,6.0,0.37
352,white alder,Alnus,rhombifolia,6.0,0.37
353,Arizona alder,Alnus,oblongifolia,6.0,0.37
355,European alder,Alnus,glutinosa,6.0,0.37
356,serviceberry spp.,Amelanchier,spp.,8.0,0.66
357,common serviceberry,Amelanchier,arborea,8.0,0.66
358,roundleaf serviceberry,Amelanchier,sanguinea,8.0,0.66
360,madrone spp.,Arbutus,spp.,8.0,0.58
361,Pacific madrone,Arbutus,menziesii,8.0,0.58
362,Arizona madrone,Arbutus,arizonica,8.0,0.58
363,Texas madrone,Arbutus,xalapensis,10.0,0.58
367,pawpaw,Asimina,triloba,8.0,0.52
370,birch spp.,Betula,spp.,7.0,0.51
371,yellow birch,Betula,alleghaniensis,7.0,0.55
372,sweet birch,Betula,lenta,7.0,0.6
373,river birch,Betula,nigra,7.0,0.49
374,water birch,Betula,occidentalis,7.0,0.51
375,paper birch,Betula,papyrifera,7.0,0.48
376,resin birch,Betula,neoalaskana,7.0,0.48
377,Virginia roundleaf birch,Betula,uber,7.0,0.51
378,northwestern paper birch,Betula,x utahensis,7.0,0.51
379,gray birch,Betula,populifolia,7.0,0.45
381,"chittamwood, gum bumelia",Sideroxylon,lanuginosum,8.0,0.52
391,"American hornbeam, musclewood",Carpinus,caroliniana,8.0,0.58
400,hickory spp.,Carya,spp.,9.0,0.62
401,water hickory,Carya,aquatica,9.0,0.61
402,bitternut hickory,Carya,cordiformis,9.0,0.6
403,pignut hickory,Carya,glabra,9.0,0.66
404,pecan,Carya,illinoinensis,9.0,0.6
405,shellbark hickory,Carya,laciniosa,9.0,0.62
406,nutmeg hickory,Carya,myristiciformis,9.0,0.56
407,shagbark hickory,Carya,ovata,9.0,0.64
408,black hickory,Carya,texana,9.0,0.62
409,mockernut hickory,Carya,alba,9.0,0.64
410,sand hickory,Carya,pallida,9.0,0.62
411,scrub hickory,Carya,floridana,9.0,0.62
412,red hickory,Carya,ovalis,9.0,0.62
413,southern shagbark hickory,Carya,carolinae-septentrionalis,9.0,0.62
420,chestnut spp.,Castanea,spp.,8.0,0.4
421,American chestnut,Castanea,dentata,8.0,0.4
422,Allegheny chinkapin,Castanea,pumila,8.0,0.4
423,Ozark chinkapin,Castanea,pumila,8.0,0.4
424,Chinese chestnut,Castanea,mollissima,8.0,0.4
431,"giant chinkapin, golden chinkapin",Chrysolepis,chrysophylla,8.0,0.42
450,catalpa spp.,Catalpa,spp.,8.0,0.38
451,southern catalpa,Catalpa,bignonioides,8.0,0.38
452,northern catalpa,Catalpa,speciosa,8.0,0.38
460,hackberry spp.,Celtis,spp.,8.0,0.49
461,sugarberry,Celtis,laevigata,8.0,0.49
462,hackberry,Celtis,occidentalis,8.0,0.49
463,netleaf hackberry,Celtis,laevigata,8.0,0.49
471,eastern redbud,Cercis,canadensis,8.0,0.52
475,curlleaf mountain-mahogany,Cercocarpus,ledifolius,10.0,0.52
481,yellowwood,Cladrastis,kentukea,8.0,0.52
490,dogwood spp.,Cornus,spp.,8.0,0.61
491,flowering dogwood,Cornus,florida,8.0,0.64
492,Pacific dogwood,Cornus,nuttallii,8.0,0.58
500,hawthorn spp.,Crataegus,spp.,8.0,0.52
501,cockspur hawthorn,Crataegus,crus-galli,8.0,0.52
502,downy hawthorn,Crataegus,mollis,8.0,0.52
503,Brainerd's hawthorn,Crataegus,brainerdii,8.0,0.52
504,pear hawthorn,Crataegus,calpodendron,8.0,0.52
505,fireberry hawthorn,Crataegus,chrysocarpa,8.0,0.52
506,broadleaf hawthorn,Crataegus,dilatata,8.0,0.52
507,fanleaf hawthorn,Crataegus,flabellata,8.0,0.52
508,oneseed hawthorn,Crataegus,monogyna,8.0,0.52
509,scarlet hawthorn,Crataegus,pedicellata,8.0,0.52
510,eucalyptus spp.,Eucalyptus,spp.,8.0,0.52
511,Tasmanian bluegum,Eucalyptus,globulus,8.0,0.52
512,river redgum,Eucalyptus,camaldulensis,8.0,0.52
513,grand eucalyptus,Eucalyptus,grandis,8.0,0.52
514,swampmahogany,Eucalyptus,robusta,8.0,0.52
520,persimmon spp.,Diospyros,spp.,8.0,0.64
521,common persimmon,Diospyros,virginiana,8.0,0.64
522,Texas persimmon,Diospyros,texana,8.0,0.64
523,Anacua knockaway,Ehretia,anacua,10.0,0.52
531,American beech,Fagus,grandifolia,9.0,0.56
540,ash spp.,Fraxinus,spp.,8.0,0.51
541,white ash,Fraxinus,americana,8.0,0.55
542,Oregon ash,Fraxinus,latifolia,8.0,0.5
543,black ash,Fraxinus,nigra,8.0,0.45
544,green ash,Fraxinus,pennsylvanica,8.0,0.53
545,pumpkin ash,Fraxinus,profunda,8.0,0.48
546,blue ash,Fraxinus,quadrangulata,8.0,0.53
547,velvet ash,Fraxinus,velutina,8.0,0.51
548,Carolina ash,Fraxinus,caroliniana,8.0,0.51
549,Texas ash,Fraxinus,texensis,8.0,0.51
550,honeylocust spp.,Gleditsia,spp.,8.0,0.6
551,waterlocust,Gleditsia,aquatica,8.0,0.6
552,honeylocust,Gleditsia,triacanthos,8.0,0.6
555,loblolly-bay,Gordonia,lasianthus,8.0,0.52
561,"ginkgo, maidenhair tree",Ginkgo,biloba,8.0,0.52
571,Kentucky coffeetree,Gymnocladus,dioicus,8.0,0.53
580,silverbell spp.,Halesia,spp.,8.0,0.42
581,Carolina silverbell,Halesia,carolina,8.0,0.42
582,two-wing silverbell,Halesia,diptera,8.0,0.42
583,little silverbell,Halesia,parviflora,8.0,0.42
591,American holly,Ilex,opaca,8.0,0.5
600,walnut spp.,Juglans,spp.,8.0,0.44
601,butternut,Juglans,cinerea,8.0,0.36
602,black walnut,Juglans,nigra,8.0,0.51
603,northern California black walnut,Juglans,hindsii,8.0,0.44
604,southern California black walnut,Juglans,californica,8.0,0.44
605,Texas walnut,Juglans,microcarpa,8.0,0.44
606,Arizona walnut,Juglans,major,8.0,0.44
611,sweetgum,Liquidambar,styraciflua,8.0,0.46
621,yellow-poplar,Liriodendron,tulipifera,8.0,0.4
631,tanoak,Lithocarpus,densiflorus,8.0,0.58
641,Osage-orange,Maclura,pomifera,8.0,0.76
650,magnolia spp.,Magnolia,spp.,8.0,0.43
651,cucumbertree,Magnolia,acuminata,8.0,0.44
652,southern magnolia,Magnolia,grandiflora,8.0,0.46
653,sweetbay,Magnolia,virginiana,8.0,0.42
654,bigleaf magnolia,Magnolia,macrophylla,8.0,0.43
655,mountain or Fraser magnolia,Magnolia,fraseri,8.0,0.4
657,pyramid magnolia,Magnolia,pyramidata,8.0,0.43
658,umbrella magnolia,Magnolia,tripetala,8.0,0.43
660,apple spp.,Malus,spp.,8.0,0.61
661,Oregon crab apple,Malus,fusca,8.0,0.61
662,southern crab apple,Malus,angustifolia,8.0,0.61
